year,org,ein,class,group_id_guess,name,new_group_id,remove,final_id
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2010,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2009,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2008,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_23,DAVID C MICHAELS,,,04-2121305_23
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_24,LAURIE B PSHENISHNY,04-2121305_85,,04-2121305_85
2018,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_25,WALKER F TODD,,,04-2121305_25
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_25,WALKER F TODD,,,04-2121305_25
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_25,WALKER F TODD,,,04-2121305_25
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_25,WALKER F TODD,,,04-2121305_25
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_25,WALKER F TODD,,,04-2121305_25
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,RONALD A GILMORE,,,04-2121305_26
2016,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,RONALD A GILMORE,,,04-2121305_26
2015,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,RONALD A GILMORE,,,04-2121305_26
2014,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,RONALD A GILMORE,,,04-2121305_26
2013,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,RONALD A GILMORE,,,04-2121305_26
2012,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,RONALD A GILMORE,,,04-2121305_26
2011,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,RONALD A GILMORE,,,04-2121305_26
2002,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,"ROBERT GILMOUR, PHD",04-2121305_83,,04-2121305_83
2001,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,ROBERT GILMOUR,04-2121305_83,,04-2121305_83
2001,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,DR ROBERT A GILMOUR,04-2121305_83,,04-2121305_83
2000,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,ROBERT GILMOUR,04-2121305_83,,04-2121305_83
2000,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,DR. ROBERT A. GILMOUR,04-2121305_83,,04-2121305_83
1999,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,ROBERT GILMOUR,04-2121305_83,,04-2121305_83
1999,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,DR. ROBERT A. GILMOUR,04-2121305_83,,04-2121305_83
1998,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,ROBERT GILMOUR,04-2121305_83,,04-2121305_83
1998,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_26,DR. ROBERT A. GILMOUR,04-2121305_83,,04-2121305_83
2017,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,04-2121305,officers,04-2121305_27,REED E PHILLIPS,,,04-2121305_27
